"Page","Traffic Share","Unique Pageviews","Unique Visitors","Visits","Avg. Visit Duration","Direct","AI Traffic","Referral","Organic Search","Google AI Mode","Paid Search","Organic Social","Paid Social","Email","Display Ads"
"shop.lagomnaturals.com","78.54%","3,641","3,641","3,502","00:33","197","0","1,813","1,492","0","0","0","0","0","0"
"lagomnaturals.com","11.42%","3,500","3,361","509","00:21","45","0","0","464","0","0","0","0","0","0"
"lagomnaturals.com/mogal","6.23%","278","139","278","00:33","278","0","0","0","0","0","0","0","0","0"
"lagomnaturals.com/brands/looner","3.81%","170","170","170","00:00","0","0","0","170","0","0","0","0","0","0"
"lagomnaturals.com/checkout","0%","139","139","0","02:05","0","0","0","0","0","0","0","0","0","0"
"lagomnaturals.com/faq","0%","383","383","0","00:30","0","0","0","0","0","0","0","0","0","0"
"lagomnaturals.com/product/crescent-moon","0%","901","901","0","00:06","0","0","0","0","0","0","0","0","0","0"
"lagomnaturals.com/product/lagom-naturals-organic","0%","383","383","0","00:44","0","0","0","0","0","0","0","0","0","0"
"lagomnaturals.com/product/premium-thc-infused-seltzer","0%","139","139","0","00:08","0","0","0","0","0","0","0","0","0","0"
"lagomnaturals.com/product/space-cadet","0%","123","123","0","00:07","0","0","0","0","0","0","0","0","0","0"
"lagomnaturals.com/shop","0%","1,905","1,905","0","01:09","0","0","0","0","0","0","0","0","0","0"
"lagomnaturals.com/shop/page/2","0%","1,284","1,284","0","00:02","0","0","0","0","0","0","0","0","0","0"
"lagomnaturals.com/shop/page/3","0%","383","383","0","00:18","0","0","0","0","0","0","0","0","0","0"
"lagomnaturals.com/wp-admin","0%","278","139","0","01:41","0","0","0","0","0","0","0","0","0","0"
"lagomnaturals.com/wp-admin/admin.php","0%","139","139","0","12:19","0","0","0","0","0","0","0","0","0","0"
"lagomnaturals.com/wp-admin/plugins.php","0%","139","139","0","02:56","0","0","0","0","0","0","0","0","0","0"
