"Page","Traffic Share","Unique Pageviews","Unique Visitors"
"http://shop.lagomnaturals.com","73.1%","2,740","2,740"
"http://lagomnaturals.com","14.31%","2,599","2,460"
"http://lagomnaturals.com/mogal","7.81%","278","139"
"http://lagomnaturals.com/brands/looner","4.78%","170","170"
"http://lagomnaturals.com/product/lagom-naturals-organic","0%","383","383"
