"Period","Visits","Visits, Difference","Unique Visitors","Unique Visitors, Difference","Purchase Conversion","Purchase Conversion, Difference","Pages / Visit","Pages / Visit, Difference","Avg. Visit Duration","Avg. Visit Duration, Difference","Bounce Rate","Bounce Rate, Difference"
"Sep 2025 – Aug 2026","3558","-32.31%","3418","-30.2%","n/a","0%","3.3","-7.95%","02:22","44.9%","16.95%","-48.98%"
"Sep 2024 – Aug 2025","5256","","4897","","0%","","3.5","","01:38","","33.22%",""
